description,category,amount,timestamp
Flight ticket,Transportation,14.66,2022-06-19 12:55:14
Train ticket,Entertainment,243.65,2024-09-08 05:08:17
Car repair,Shopping,189.87,2024-06-02 17:35:58
Flight ticket,Food,68.75,2023-07-22 15:45:25
Groceries,Transportation,194.69,2022-04-14 19:15:59
Pharmacy purchase,Transportation,292.11,2024-05-28 08:41:38
Amazon,,79.13,2023-01-25 17:00:33
Uber ride,Fitness,280.17,2022-07-15 05:04:04
Substack sub,Utilities,208.75,2024-10-21 18:16:34
Train ticket,Fitness,178.61,2023-03-12 08:39:10
Airbnb stay,Fitness,164.27,2024-11-07 10:05:44
Gym membership,Shopping,220.77,2022-07-06 19:02:39
Electricity bill,Food,49.49,2024-04-17 22:44:41
Car repair,Entertainment,58.6,2024-11-23 15:16:01
Train ticket,Travel,231.54,2025-03-23 15:27:26
Online course,Entertainment,74.4,2023-09-21 11:52:46
Subscription,Fitness,142.94,2024-08-07 17:45:00
Movie ticket,Transportation,280.23,2022-06-06 17:36:28
Coffee,Food,294.67,2024-09-18 19:44:56
Substack sub,Health,204.86,2022-07-10 09:31:20
Groceries,Travel,229.62,2022-10-03 20:41:44
Online course,Utilities,100.96,2024-09-04 10:13:53
Pharmacy purchase,Shopping,281.76,2024-07-04 01:43:15
Substack sub,Entertainment,239.9,2024-03-12 00:47:07
Amazon,,239.51,2025-01-19 16:24:39
Train ticket,Food,231.4,2024-04-23 05:50:20
Substack sub,Utilities,16.58,2022-05-12 03:34:51
Uber ride,Shopping,60.71,2023-08-05 04:08:55
Amazon,,230.44,2022-05-19 21:42:41
Electricity bill,Entertainment,196.85,2022-04-26 21:08:45
Dinner at restaurant,Utilities,12.69,2022-05-16 18:26:02
Subscription,Shopping,208.7,2022-04-26 19:51:27
Train ticket,Entertainment,60.28,2024-04-14 20:14:48
Subscription,Shopping,131.1,2023-02-24 10:04:31
Pharmacy purchase,Shopping,153.29,2025-04-11 08:47:23
Electricity bill,Health,105.12,2023-11-18 16:45:29
Pharmacy purchase,Entertainment,287.5,2023-04-11 20:04:40
Movie ticket,Entertainment,25.68,2022-06-25 20:48:17
Coffee,Food,106.92,2022-09-30 04:46:09
Movie ticket,Health,154.92,2024-02-18 21:01:17
Car repair,Health,99.68,2022-08-19 12:01:06
Online course,Fitness,171.22,2024-11-20 10:06:40
Coffee,Health,10.98,2023-02-23 23:10:03
Online course,Entertainment,208.46,2022-07-24 14:04:09
Pharmacy purchase,Fitness,79.7,2024-09-03 05:24:15
Amazon,,177.65,2023-06-27 20:29:10
Train ticket,Shopping,221.94,2023-07-19 04:02:04
Groceries,Shopping,32.39,2023-10-22 16:48:50
Gym membership,Transportation,179.93,2022-09-04 23:19:08
Dinner at restaurant,Food,151.44,2023-05-08 09:58:57
Concert ticket,Health,91.03,2024-12-18 11:25:01
Uber ride,Health,131.11,2025-02-11 15:10:16
Coffee,Transportation,270.71,2025-02-16 19:26:14
Gym membership,Fitness,132.09,2025-01-23 15:38:57
Gas @ Chevron,Food,121.95,2022-10-04 17:37:45
Flight ticket,Fitness,15.91,2023-06-01 09:31:41
Amazon,,285.32,2024-06-13 13:22:44
Subscription,Shopping,271.77,2023-09-04 22:13:17
Clothing purchase,Transportation,17.51,2023-02-25 16:28:28
Train ticket,Utilities,133.93,2023-10-25 20:49:07
Dinner at restaurant,Entertainment,5.05,2025-03-23 13:58:12
Movie ticket,Utilities,87.16,2022-11-11 10:17:00
Pharmacy purchase,Utilities,189.64,2023-08-02 20:34:01
Uber ride,Travel,59.46,2024-01-12 17:08:06
Electricity bill,Fitness,155.81,2022-08-16 20:36:17
Substack sub,Fitness,89.25,2022-06-15 22:06:17
Subscription,Food,22.47,2023-08-16 19:38:48
Substack sub,Fitness,99.23,2022-05-10 01:23:32
Car repair,Food,67.11,2022-09-23 23:37:14
Dinner at restaurant,Utilities,109.65,2022-05-19 15:25:24
Dinner at restaurant,Shopping,265.84,2024-09-01 16:45:14
Uber ride,Health,299.13,2025-02-24 08:26:45
Train ticket,Shopping,20.66,2023-07-16 21:12:51
Coffee,Fitness,5.91,2024-10-16 01:25:40
Groceries,Utilities,189.39,2022-08-07 14:08:02
Airbnb stay,Food,213.5,2022-07-26 02:05:56
Concert ticket,Transportation,14.46,2022-08-11 16:12:31
Concert ticket,Utilities,103.3,2022-11-25 21:18:52
Pharmacy purchase,Travel,131.79,2023-04-07 20:43:25
Clothing purchase,Transportation,230.08,2022-07-02 02:30:40
Amazon,,211.67,2024-04-05 08:01:21
Airbnb stay,Food,221.44,2022-09-11 03:08:31
Electricity bill,Shopping,240.35,2022-12-15 13:45:23
Concert ticket,Entertainment,138.75,2025-02-26 03:00:42
Groceries,Food,109.31,2025-03-06 01:07:30
Dinner at restaurant,Shopping,139.68,2024-01-18 05:46:14
Dinner at restaurant,Food,201.46,2023-06-28 03:24:56
Subscription,Health,53.33,2023-04-25 14:01:58
Movie ticket,Travel,39.81,2023-06-06 20:59:08
Gym membership,Health,158.1,2024-10-19 03:50:03
Gas @ Chevron,Food,207.2,2023-12-21 19:59:22
Uber ride,Travel,125.34,2023-06-04 16:14:51
Car repair,Travel,294.33,2022-05-24 11:49:11
Coffee,Health,268.11,2023-03-18 08:28:40
Pharmacy purchase,Utilities,248.55,2024-07-24 22:06:54
Online course,Entertainment,98.09,2023-10-22 06:18:04
Coffee,Health,163.88,2025-02-25 06:45:23
Concert ticket,Food,81.09,2023-01-29 01:29:46
Substack sub,Fitness,51.29,2023-12-19 14:34:27
Online course,Entertainment,128.04,2025-01-01 14:08:07
Flight ticket,Travel,189.06,2024-07-07 15:24:24
Electricity bill,Travel,279.21,2025-04-04 23:24:07
Substack sub,Utilities,233.18,2023-08-14 12:05:32
Car repair,Food,63.75,2023-04-04 08:27:29
Car repair,Shopping,258.41,2022-04-14 18:43:14
Car repair,Entertainment,116.56,2022-05-28 15:54:44
Airbnb stay,Entertainment,173.43,2024-02-24 07:26:08
Pharmacy purchase,Food,73.34,2022-07-03 16:21:12
Uber ride,Shopping,184.48,2024-05-05 20:19:46
Subscription,Travel,293.54,2024-11-21 18:37:38
Online course,Transportation,276.2,2024-07-02 06:10:19
Subscription,Food,92.25,2023-03-06 00:56:00
Car repair,Food,5.59,2024-12-25 18:12:16
Flight ticket,Health,189.18,2023-12-04 17:04:52
Groceries,Shopping,282.52,2023-01-25 22:21:30
Gym membership,Travel,16.63,2025-03-22 10:33:31
Groceries,Food,190.38,2022-05-12 22:23:48
Groceries,Travel,236.34,2023-07-26 05:20:27
Coffee,Health,59.28,2023-06-12 13:36:17
Electricity bill,Shopping,23.84,2024-09-23 14:13:23
Gas @ Chevron,Health,122.92,2023-10-15 01:33:43
Gas @ Chevron,Travel,90.97,2024-12-26 21:03:55
Electricity bill,Food,250.64,2023-07-26 08:33:50
Car repair,Utilities,66.81,2022-09-08 14:31:35
Airbnb stay,Fitness,199.84,2023-03-30 16:10:12
Movie ticket,Travel,250.83,2025-02-08 07:33:24
Subscription,Utilities,232.82,2023-09-22 13:49:31
Movie ticket,Transportation,265.9,2022-06-14 22:08:02
Uber ride,Transportation,246.96,2023-08-08 21:59:10
Gym membership,Health,110.07,2023-07-20 02:47:42
Car repair,Food,58.76,2024-06-14 07:31:50
Groceries,Shopping,214.38,2023-07-05 21:40:29
Coffee,Fitness,286.08,2024-07-27 03:33:33
Car repair,Travel,107.16,2025-02-09 03:11:17
Electricity bill,Travel,89.21,2022-09-27 03:52:10
Car repair,Health,29.65,2025-03-29 04:26:00
Electricity bill,Food,16.46,2023-09-09 01:56:28
Clothing purchase,Travel,125.42,2024-03-23 00:50:33
Movie ticket,Transportation,142.27,2024-08-14 07:29:35
Gas @ Chevron,Entertainment,42.54,2023-01-17 02:37:33
Airbnb stay,Entertainment,204.78,2023-07-27 06:14:58
Amazon,,271.53,2024-01-15 20:46:01
Car repair,Transportation,82.62,2024-07-12 13:14:51
Car repair,Shopping,162.14,2024-10-11 17:14:10
Movie ticket,Entertainment,145.61,2023-06-08 13:46:34
Movie ticket,Food,177.17,2023-04-24 10:12:05
Electricity bill,Food,233.84,2022-07-25 04:39:13
Clothing purchase,Utilities,212.37,2023-06-23 04:54:31
Concert ticket,Travel,125.92,2023-01-24 15:29:46
Gym membership,Utilities,8.13,2023-10-15 22:48:53
Subscription,Food,297.79,2022-10-05 13:37:10
Gym membership,Fitness,14.2,2023-09-08 14:53:11
Train ticket,Food,271.9,2024-08-18 06:47:41
Clothing purchase,Shopping,176.49,2024-08-05 21:49:35
Subscription,Health,162.74,2023-02-27 17:24:21
Subscription,Entertainment,254.68,2024-01-26 10:17:14
Pharmacy purchase,Shopping,103.47,2023-02-11 00:19:49
Flight ticket,Food,299.31,2023-12-24 23:38:48
Online course,Food,287.24,2023-08-18 19:40:07
Gym membership,Shopping,76.33,2024-09-20 11:33:05
Clothing purchase,Utilities,101.93,2024-07-20 14:43:43
Substack sub,Entertainment,194.09,2022-09-15 05:29:48
Coffee,Health,104.7,2023-04-28 20:49:34
Online course,Food,233.99,2022-09-21 04:47:48
Flight ticket,Travel,281.81,2023-10-24 04:46:57
Subscription,Utilities,292.95,2024-06-18 01:35:07
Train ticket,Fitness,260.94,2024-08-21 10:31:02
Concert ticket,Shopping,85.79,2025-03-23 17:02:57
Subscription,Health,182.87,2022-05-02 07:13:49
Online course,Transportation,87.89,2022-10-29 16:06:08
Online course,Entertainment,81.66,2023-08-01 15:50:47
Gas @ Chevron,Fitness,105.44,2023-09-07 11:04:56
Dinner at restaurant,Transportation,174.95,2022-06-21 18:13:23
Concert ticket,Health,290.44,2023-02-14 01:55:29
Concert ticket,Health,4.82,2024-05-15 12:36:46
Car repair,Entertainment,83.64,2022-11-28 18:57:12
Subscription,Food,57.4,2024-03-20 03:44:34
Flight ticket,Shopping,233.64,2024-03-03 14:34:51
Concert ticket,Health,274.0,2023-10-01 16:21:16
Train ticket,Food,263.19,2023-12-27 11:22:12
Electricity bill,Shopping,174.56,2024-05-16 23:02:01
Uber ride,Health,125.42,2024-03-19 09:12:30
Coffee,Health,87.19,2024-07-26 23:03:08
Concert ticket,Entertainment,194.13,2023-07-16 19:44:43
Movie ticket,Health,226.53,2024-08-17 04:22:28
Coffee,Utilities,259.91,2024-05-22 04:22:59
Coffee,Fitness,213.33,2024-04-29 06:09:42
Uber ride,Fitness,122.92,2024-02-06 03:18:07
Pharmacy purchase,Transportation,129.94,2023-10-30 01:23:45
Pharmacy purchase,Food,180.12,2022-09-24 04:09:43
Flight ticket,Food,283.96,2024-06-15 23:45:48
Gas @ Chevron,Shopping,82.65,2024-08-06 16:09:00
Train ticket,Entertainment,230.18,2024-10-03 00:58:36
Electricity bill,Fitness,156.17,2023-02-27 03:35:03
Amazon,,156.87,2023-12-27 00:41:33
Movie ticket,Entertainment,261.5,2025-01-31 20:41:09
Pharmacy purchase,Fitness,260.38,2022-11-22 18:03:33
Subscription,Health,49.25,2023-08-24 19:41:16
Car repair,Utilities,288.37,2024-03-31 02:53:56
Pharmacy purchase,Health,211.14,2024-11-17 12:07:47
Coffee,Transportation,206.3,2024-12-22 13:09:46
Coffee,Health,59.66,2022-08-30 17:59:34
Flight ticket,Shopping,105.18,2023-09-29 09:56:12
Coffee,Fitness,39.89,2024-04-06 12:41:22
Electricity bill,Transportation,80.44,2024-08-07 18:49:20
Car repair,Transportation,90.38,2022-06-18 01:43:29
Substack sub,Travel,130.04,2023-10-06 20:59:15
Gas @ Chevron,Food,64.87,2025-02-10 22:03:43
Coffee,Utilities,134.38,2023-03-24 18:13:17
Clothing purchase,Food,258.79,2023-02-24 19:18:05
Coffee,Shopping,55.35,2023-04-11 02:18:07
Movie ticket,Transportation,223.89,2023-11-03 21:32:49
Gym membership,Food,53.87,2023-12-23 22:07:29
Online course,Health,12.34,2023-05-22 20:55:45
Amazon,,114.48,2022-07-14 20:08:13
Dinner at restaurant,Entertainment,31.66,2024-12-20 17:31:05
Clothing purchase,Fitness,122.12,2024-02-01 22:16:03
Groceries,Health,289.42,2025-03-08 18:45:23
Dinner at restaurant,Fitness,75.27,2022-10-04 22:00:23
Airbnb stay,Health,9.98,2024-09-14 01:52:30
Subscription,Entertainment,250.75,2022-11-12 09:05:00
Clothing purchase,Shopping,120.95,2023-04-06 21:42:30
Subscription,Health,58.1,2022-09-01 18:25:39
Concert ticket,Food,150.41,2023-07-28 19:04:59
Concert ticket,Transportation,178.76,2023-04-11 08:11:46
Train ticket,Health,113.88,2023-05-01 13:10:08
Flight ticket,Entertainment,268.8,2023-09-24 08:39:49
Gas @ Chevron,Shopping,241.73,2023-05-29 17:33:23
Gas @ Chevron,Entertainment,66.2,2024-04-28 02:34:37
Online course,Fitness,107.99,2023-05-07 16:51:52
Subscription,Entertainment,57.81,2024-06-28 13:02:50
Gas @ Chevron,Travel,81.05,2025-03-15 00:45:45
Airbnb stay,Entertainment,154.27,2024-07-05 09:39:14
Movie ticket,Transportation,55.27,2022-10-13 05:30:52
Gas @ Chevron,Transportation,22.73,2023-01-17 04:24:13
Uber ride,Entertainment,28.92,2024-09-25 16:32:28
Substack sub,Entertainment,62.71,2023-07-05 14:44:21
Dinner at restaurant,Shopping,148.23,2022-12-17 17:47:12
Car repair,Food,114.3,2025-03-28 09:36:05
Electricity bill,Transportation,214.68,2023-09-29 17:43:11
Coffee,Transportation,140.59,2023-05-30 00:46:37
Subscription,Health,194.98,2024-01-15 19:35:44
Amazon,,60.52,2023-07-10 18:10:07
Clothing purchase,Fitness,248.53,2024-08-21 04:27:04
Gym membership,Travel,73.78,2024-11-02 20:52:24
Clothing purchase,Fitness,255.33,2023-04-25 18:47:42
Substack sub,Shopping,223.36,2023-04-18 06:40:13
Electricity bill,Utilities,180.04,2023-12-27 20:07:31
Pharmacy purchase,Health,193.1,2024-09-01 09:11:37
Concert ticket,Transportation,60.65,2024-05-19 12:57:12
Flight ticket,Shopping,146.29,2023-06-11 07:48:04
Amazon,,3.11,2023-07-01 18:13:12
Amazon,,180.43,2024-11-05 02:39:37
Gas @ Chevron,Travel,169.08,2024-06-19 20:25:11
Substack sub,Utilities,247.24,2023-06-28 13:50:18
Concert ticket,Health,285.89,2024-10-17 14:06:18
Gym membership,Food,19.23,2025-03-01 21:21:21
Electricity bill,Shopping,234.23,2023-08-17 21:39:45
Concert ticket,Fitness,65.44,2023-06-11 10:15:51
Electricity bill,Food,241.32,2023-08-20 01:30:43
Movie ticket,Shopping,53.57,2025-02-02 05:55:21
Uber ride,Shopping,290.23,2022-12-25 04:00:02
Amazon,,295.03,2025-02-05 01:41:11
Car repair,Health,80.14,2024-05-18 12:15:19
Concert ticket,Food,70.31,2024-05-24 09:08:13
Airbnb stay,Food,245.07,2024-11-15 13:10:55
Pharmacy purchase,Utilities,258.78,2022-12-08 22:51:51
Online course,Food,290.06,2024-11-01 01:17:17
Groceries,Utilities,226.96,2024-10-02 01:33:13
Gym membership,Utilities,174.98,2024-09-07 21:55:48
Flight ticket,Shopping,37.07,2024-11-23 21:56:15
Train ticket,Transportation,96.68,2022-04-20 05:29:59
Car repair,Food,216.36,2024-08-25 07:27:06
Substack sub,Shopping,266.53,2025-03-03 02:45:58
Movie ticket,Transportation,250.26,2022-05-08 00:57:06
Amazon,,46.46,2023-08-08 01:13:57
Concert ticket,Travel,107.05,2023-12-28 10:00:52
Pharmacy purchase,Entertainment,192.82,2022-06-07 03:15:01
Gym membership,Entertainment,242.59,2023-07-12 11:13:14
Train ticket,Food,292.8,2022-08-13 12:09:24
Gym membership,Entertainment,22.25,2022-09-25 02:43:02
Airbnb stay,Transportation,288.54,2023-02-07 00:43:46
Uber ride,Entertainment,79.45,2022-05-05 04:49:30
Amazon,,147.48,2024-02-16 12:47:08
Clothing purchase,Fitness,288.94,2023-04-22 15:31:02
Online course,Health,130.44,2022-10-25 18:11:53
Movie ticket,Entertainment,265.98,2024-07-05 03:59:59
Groceries,Transportation,231.15,2023-02-19 21:52:09
Movie ticket,Shopping,196.09,2024-03-15 18:15:46
Substack sub,Food,28.86,2023-07-04 17:24:20
Substack sub,Shopping,99.96,2024-06-11 16:56:17
Concert ticket,Travel,8.34,2023-03-07 14:41:40
Airbnb stay,Utilities,297.37,2024-11-22 04:43:13
Movie ticket,Transportation,134.52,2024-03-23 10:32:21
Flight ticket,Shopping,214.43,2024-10-03 18:29:38
Flight ticket,Shopping,95.06,2023-01-11 20:17:10
Subscription,Travel,163.82,2024-03-17 22:48:57
Movie ticket,Fitness,110.22,2024-08-13 18:31:46
Pharmacy purchase,Fitness,91.71,2025-01-30 12:55:36
Gas @ Chevron,Fitness,27.5,2023-03-21 01:29:24
Clothing purchase,Fitness,147.13,2023-02-25 07:21:58
Online course,Transportation,142.23,2022-05-26 07:08:27
Groceries,Shopping,185.64,2022-09-01 07:31:27
Gym membership,Utilities,228.82,2023-01-27 03:59:14
Uber ride,Entertainment,34.8,2023-10-05 02:40:21
Flight ticket,Health,241.93,2022-07-29 06:30:02
Pharmacy purchase,Health,205.33,2024-09-13 10:56:40
Electricity bill,Food,253.81,2024-02-27 11:34:26
Car repair,Fitness,77.77,2024-11-01 15:16:21
Pharmacy purchase,Utilities,274.88,2023-11-04 16:16:50
Subscription,Travel,293.57,2023-03-26 00:01:14
Substack sub,Entertainment,173.57,2023-03-31 23:51:27
Gas @ Chevron,Travel,244.23,2023-10-16 08:30:03
Flight ticket,Entertainment,86.91,2025-01-13 10:17:55
Groceries,Utilities,79.58,2023-05-12 09:58:13
Substack sub,Health,72.16,2023-01-28 19:39:12
Clothing purchase,Food,295.58,2023-05-13 01:14:12
Airbnb stay,Utilities,147.91,2023-12-24 13:19:41
Car repair,Fitness,240.27,2023-03-04 23:08:04
Subscription,Utilities,262.97,2023-05-19 06:31:45
Pharmacy purchase,Entertainment,267.35,2023-11-16 07:42:36
Car repair,Travel,269.37,2022-05-15 19:41:59
Coffee,Entertainment,255.74,2023-05-04 19:59:21
Movie ticket,Utilities,295.1,2024-06-27 11:08:59
Substack sub,Entertainment,152.42,2022-07-12 11:13:19
Subscription,Travel,122.12,2024-08-06 10:41:17
Dinner at restaurant,Health,263.59,2024-10-20 02:13:35
Airbnb stay,Food,43.31,2022-10-08 16:24:26
Dinner at restaurant,Food,201.55,2024-02-29 02:31:02
Groceries,Shopping,157.88,2022-08-03 12:55:27
Online course,Travel,120.6,2022-11-06 12:15:00
Pharmacy purchase,Food,135.54,2025-04-12 10:49:38
Car repair,Transportation,49.32,2024-09-05 12:30:09
Amazon,,198.41,2025-04-05 18:05:38
Dinner at restaurant,Shopping,120.58,2022-05-10 08:06:41
Electricity bill,Fitness,82.28,2023-06-21 09:50:02
Airbnb stay,Fitness,129.08,2023-10-01 00:42:32
Flight ticket,Fitness,3.95,2023-11-19 12:27:20
Amazon,,140.76,2023-01-17 16:05:03
Gas @ Chevron,Travel,290.08,2023-01-15 02:18:22
Amazon,,23.78,2022-07-05 00:11:15
Flight ticket,Food,110.8,2025-02-18 10:12:32
Pharmacy purchase,Utilities,124.86,2023-01-27 20:19:51
Pharmacy purchase,Food,50.13,2025-02-05 21:56:09
Train ticket,Entertainment,128.61,2024-09-07 09:20:38
Train ticket,Shopping,32.78,2024-08-22 16:52:25
Car repair,Transportation,46.87,2024-11-16 16:33:30
Coffee,Entertainment,231.23,2022-11-21 04:51:41
Dinner at restaurant,Entertainment,258.96,2023-03-27 13:16:35
Electricity bill,Transportation,161.56,2022-11-20 09:16:15
Pharmacy purchase,Transportation,146.38,2023-12-07 09:26:34
Substack sub,Transportation,200.55,2025-03-17 21:25:57
Movie ticket,Fitness,85.25,2022-12-01 06:41:30
Gym membership,Fitness,205.23,2023-06-05 22:01:49
Flight ticket,Utilities,138.26,2024-08-24 07:27:37
Substack sub,Travel,169.87,2024-06-19 18:04:45
Coffee,Health,252.27,2024-04-07 23:59:23
Concert ticket,Fitness,114.11,2023-05-27 22:53:19
Uber ride,Fitness,190.17,2025-02-23 01:50:52
Train ticket,Travel,234.24,2024-03-08 08:36:46
Coffee,Health,288.41,2024-04-06 16:39:05
Clothing purchase,Transportation,164.49,2023-04-17 17:31:56
Flight ticket,Transportation,114.42,2022-07-09 00:59:12
Groceries,Food,65.6,2022-10-25 22:29:34
Online course,Transportation,67.94,2024-12-18 06:40:31
Dinner at restaurant,Utilities,65.02,2022-05-21 08:24:02
Pharmacy purchase,Utilities,239.96,2023-11-15 20:10:24
Car repair,Shopping,41.29,2022-09-27 01:36:06
Coffee,Health,129.16,2024-09-12 07:57:24
Uber ride,Utilities,42.75,2024-07-17 11:18:59
Movie ticket,Fitness,167.03,2025-01-31 01:44:53
Substack sub,Utilities,287.22,2022-11-04 07:54:24
Dinner at restaurant,Entertainment,127.84,2024-02-08 04:49:21
Clothing purchase,Food,40.91,2025-03-27 05:50:17
Substack sub,Travel,4.71,2023-02-03 14:18:41
Coffee,Food,48.99,2024-02-02 22:52:45
Train ticket,Food,75.31,2022-08-03 04:34:30
Online course,Travel,27.83,2024-01-07 02:47:53
Clothing purchase,Shopping,261.37,2022-08-19 22:36:58
Movie ticket,Travel,170.92,2023-10-23 00:54:04
Subscription,Food,69.69,2022-06-12 20:34:51
Flight ticket,Utilities,83.89,2025-04-01 12:25:06
Online course,Food,176.81,2022-10-28 15:49:06
Clothing purchase,Fitness,256.34,2022-08-05 12:12:34
Concert ticket,Fitness,66.16,2024-04-17 11:04:48
Groceries,Food,147.8,2024-08-06 20:44:52
Coffee,Travel,180.34,2022-04-20 16:17:12
Coffee,Fitness,116.49,2022-11-25 16:52:44
Substack sub,Travel,268.97,2024-11-08 16:50:23
Movie ticket,Transportation,216.57,2025-01-15 09:04:27
Groceries,Transportation,119.17,2023-07-30 12:52:27
Car repair,Utilities,190.08,2023-11-20 17:17:27
Gas @ Chevron,Travel,179.15,2024-02-15 11:52:43
Movie ticket,Utilities,88.76,2022-07-22 09:18:17
Subscription,Entertainment,259.3,2024-03-03 02:56:37
Electricity bill,Shopping,242.79,2024-09-19 03:19:38
Substack sub,Health,223.42,2024-11-19 14:48:00
Airbnb stay,Entertainment,37.15,2024-11-12 17:17:44
Gym membership,Health,290.17,2023-10-22 08:24:15
Groceries,Shopping,113.06,2023-02-07 03:21:08
Car repair,Transportation,240.19,2023-12-20 11:38:32
Airbnb stay,Shopping,86.73,2024-05-06 16:25:21
Train ticket,Fitness,276.89,2022-07-20 11:48:39
Uber ride,Fitness,284.66,2022-09-29 07:46:20
Gym membership,Fitness,156.29,2023-05-20 20:55:52
Pharmacy purchase,Utilities,76.62,2024-06-25 21:55:22
Coffee,Food,97.23,2024-09-17 03:09:36
Concert ticket,Travel,30.58,2024-10-11 01:28:06
Clothing purchase,Shopping,101.56,2023-04-10 02:47:37
Gas @ Chevron,Food,168.69,2023-08-17 08:12:52
Groceries,Health,118.71,2023-01-13 19:43:30
Clothing purchase,Health,259.62,2024-11-01 10:37:44
Coffee,Travel,271.36,2022-10-29 03:51:29
Flight ticket,Transportation,214.12,2023-11-13 21:20:08
Uber ride,Utilities,5.15,2023-04-23 10:40:20
Electricity bill,Entertainment,190.84,2023-07-13 02:19:28
Online course,Shopping,30.12,2023-02-17 10:43:40
Coffee,Food,46.04,2024-03-25 13:24:34
Online course,Fitness,201.43,2022-12-07 02:32:36
Dinner at restaurant,Food,54.55,2022-09-20 09:10:37
Airbnb stay,Food,151.9,2022-06-15 19:21:28
Substack sub,Entertainment,230.65,2025-04-03 01:17:48
Pharmacy purchase,Transportation,188.28,2023-12-08 00:52:44
Clothing purchase,Shopping,172.06,2024-09-03 18:53:57
Subscription,Utilities,138.49,2024-06-08 14:41:31
Gym membership,Fitness,182.18,2023-08-10 21:35:10
Gym membership,Health,260.67,2023-03-18 01:11:39
Flight ticket,Transportation,112.48,2025-04-02 09:11:07
Amazon,,169.54,2024-04-12 12:06:55
Gas @ Chevron,Fitness,173.17,2022-07-27 15:58:42
Concert ticket,Health,56.09,2024-06-23 19:28:11
Movie ticket,Travel,144.85,2022-06-08 16:37:32
Airbnb stay,Utilities,124.39,2024-10-05 13:43:38
Car repair,Entertainment,293.69,2024-03-24 09:33:52
Concert ticket,Shopping,85.29,2022-05-20 19:02:01
Uber ride,Travel,207.62,2024-03-15 18:00:51
Airbnb stay,Utilities,143.21,2023-03-29 18:23:32
Airbnb stay,Health,81.52,2023-07-23 05:17:25
Airbnb stay,Utilities,41.84,2022-04-26 18:29:47
Gym membership,Fitness,161.46,2024-06-30 12:47:09
Groceries,Shopping,183.84,2022-11-08 20:18:54
Concert ticket,Transportation,56.52,2024-08-28 06:28:21
Gas @ Chevron,Utilities,209.05,2024-06-13 04:10:45
Car repair,Travel,11.27,2024-01-15 08:22:07
Concert ticket,Shopping,158.03,2024-07-11 07:09:13
Coffee,Travel,187.19,2025-01-14 11:43:58
Amazon,,13.03,2022-11-26 04:03:46
Dinner at restaurant,Fitness,155.46,2024-12-23 21:28:02
Concert ticket,Utilities,253.31,2024-12-03 14:56:45
Airbnb stay,Travel,255.62,2023-09-16 12:04:58
Subscription,Entertainment,235.96,2024-10-19 06:05:06
Amazon,,68.86,2022-11-18 10:12:14
Gym membership,Shopping,166.05,2024-01-16 22:06:18
Gym membership,Health,87.41,2025-01-09 06:41:27
Subscription,Fitness,150.4,2022-12-14 13:01:25
Flight ticket,Fitness,270.19,2023-09-13 04:46:59
Gym membership,Utilities,155.36,2022-07-15 20:10:50
Concert ticket,Transportation,68.85,2023-08-09 22:25:16
Gas @ Chevron,Transportation,178.17,2024-09-07 10:47:28
Concert ticket,Transportation,284.68,2022-12-31 20:33:33
Groceries,Transportation,195.95,2024-03-31 18:33:01
Airbnb stay,Entertainment,258.49,2024-08-16 08:07:49
Amazon,,150.25,2022-09-23 04:42:05
Gas @ Chevron,Shopping,272.44,2024-03-21 21:23:06
Online course,Health,99.79,2023-04-20 10:03:12
Concert ticket,Utilities,56.9,2023-05-08 07:56:52
Dinner at restaurant,Shopping,249.75,2022-05-13 22:35:43
Car repair,Transportation,196.52,2022-09-12 13:33:18
Online course,Transportation,71.12,2024-02-11 04:08:27
Clothing purchase,Transportation,298.85,2024-04-13 17:47:46
Movie ticket,Food,127.66,2022-10-06 11:42:41
Concert ticket,Transportation,136.3,2022-04-24 07:16:08
Coffee,Transportation,85.68,2024-07-15 12:56:09
Groceries,Travel,34.59,2025-01-17 14:20:51
Gym membership,Fitness,198.23,2022-12-29 14:19:51
Pharmacy purchase,Fitness,131.82,2023-07-04 12:34:35
Flight ticket,Food,67.61,2024-02-25 14:14:43
Train ticket,Utilities,154.52,2024-04-26 19:16:56
Uber ride,Fitness,21.3,2024-07-26 05:58:11
Amazon,,9.02,2022-10-21 11:20:18
Concert ticket,Utilities,205.87,2022-06-17 22:51:38
Concert ticket,Entertainment,282.56,2022-05-29 20:50:56
Online course,Entertainment,61.06,2022-07-25 20:51:42
Clothing purchase,Fitness,151.2,2024-01-08 10:09:15
Train ticket,Health,154.76,2024-07-05 16:37:16
Clothing purchase,Health,66.06,2024-02-17 20:37:58
Dinner at restaurant,Entertainment,207.65,2025-03-12 18:43:51
Uber ride,Health,148.88,2024-07-27 03:37:17
Coffee,Health,32.49,2024-12-31 21:04:35
Train ticket,Travel,61.28,2023-04-22 07:33:48
Uber ride,Food,110.69,2024-10-31 12:44:10
Dinner at restaurant,Shopping,269.41,2025-02-03 08:06:03
Groceries,Entertainment,42.09,2023-08-06 16:12:22
Pharmacy purchase,Health,259.8,2022-11-29 02:45:59
Flight ticket,Food,56.46,2024-02-13 14:13:15
Movie ticket,Entertainment,264.34,2022-08-29 15:54:06
Online course,Entertainment,33.62,2022-12-06 03:56:24
Pharmacy purchase,Shopping,84.15,2023-09-30 23:58:19
Amazon,,51.8,2023-11-13 15:07:17
Gym membership,Health,282.47,2024-11-04 10:36:27
